Name,total_yield,chip_color,tuber_eye_depth,tuber_shape,tuber_size,tuber_length,tuber_width,sucrose,log10_glucose,log10_fructose,malic_acid,vine_maturity_95d,vine_maturity_120d,Grp1,Grp2,Grp3,Grp4
MSJ147-1,10.4,1.2,3.97,3.32,3.75,75.01,64.96,8.56,-0.826,-0.618,1.51,5.5,5,0,0,1,0
MSK061-4,13.69,1.39,3.03,2.54,4.5,77.71,66.07,5.53,-0.626,-0.349,2.07,5.5,5,0,0,1,0
MSK409-1,12.76,1.13,3.97,2.95,6.13,84.59,74.61,5.77,-0.891,-0.629,1.44,5,3.75,0,0,1,0
MSL211-3,13.25,3.5,3.3,3.46,5,83.76,70.31,8.65,0.851,0.896,1.62,4,2.5,0.273,0,0.727,0
MSL268-D,15.19,1.85,3.43,3.22,5.25,77.53,66.05,6.39,-0.708,-0.265,3.03,5.5,4.25,0.998,0,0.002,0
MSL292-A,11.41,1.13,4.5,1.54,5.38,63.35,79.28,5.27,-0.914,-0.89,1.11,4.5,1,0,0,1,0
MSL512-6,7.3,1.61,3.51,2.36,1.07,57.58,50.59,7.77,-0.632,-0.515,1.71,6,5,0,0,0,1
MSL766-1,10.98,2.08,4.89,2.01,7.15,82.38,86.98,8.69,-0.523,-0.01,2.82,4.25,3.5,0.996,0,0.004,0
MSM051-3,11.17,1.17,4.23,3.08,6.13,80.71,72.49,5.46,-0.699,-0.424,3.2,5,3.25,0,0,1,0
MSM171-A,12.11,3.48,4.63,3.46,7.25,98.42,75.07,8.06,1.048,1.106,4.84,4,2.5,1,0,0,0
MSM182-1,13.28,2.35,3.97,2.27,5.5,78.32,70.88,5.16,-0.206,0.417,2.95,4.5,3.25,0.627,0,0.373,0
MSM246-B,12.23,1.07,3.83,2.13,6.13,73.08,77.53,5.75,-0.963,-0.77,1.51,4.5,2.5,0,0,1,0
MSN105-1,12.35,2.93,3.97,2.27,4.63,76.18,71.45,9.42,0.24,0.64,3.65,5,1.75,1,0,0,0
MSN191-2Y,11.33,1.13,3.97,2.68,6.25,79.14,71.56,4.28,-0.707,-0.577,1.28,6.25,5,0.187,0,0.813,0
MSN215-2P,6.98,3.33,4.23,2.78,3.38,77.38,68.4,12.33,0.696,0.894,6.12,2.5,1,0.998,0,0.002,0
MSP239-1,11.67,1.76,3.7,2,6,74.51,78.47,6.07,-0.652,-0.081,2.72,6,3.75,0,0,1,0
MSQ070-1,12.86,1.3,3.97,2,3.63,64.32,65.89,5.62,-1.152,-0.632,1.39,5.5,5,0.001,0,0.999,0
MSQ176-5,13.7,2.13,4.37,2,7.13,78.49,78.87,5.16,-0.763,-0.254,2.48,4.25,3.25,0.999,0,0.001,0
MSQ279-1,13.38,1.83,4.5,2.13,7.25,84.8,81.43,4.59,-0.548,-0.243,3.12,6.25,5,0,0,1,0
MSR061-1,13.43,1.26,4.23,2,5.63,71.33,74.31,4.33,-0.761,-0.358,1.94,4,3.25,0.001,0,0.999,0
MSR160-2Y,11.59,1.33,3.7,2,2.88,63.22,67.18,8.37,-0.668,-0.421,2.74,3.25,1,0,0,1,0
MWTX2609-2RU,14.43,3.17,4.1,4.86,6.75,132.27,64.77,5.98,0.254,0.515,3.63,6.5,5,0.003,0.997,0,0
ND1215-1,11.93,1.98,3.97,3.18,6,92.34,70.4,5.85,-0.462,-0.073,1.35,6,4,0,0,1,0
ND2858-1,7.25,2.19,3.97,3.73,3,81.99,57.11,8.4,-0.073,0.144,2.12,6.25,4.25,0,0,0,1
ND8229-3,10.45,1.57,3.03,4.86,5.77,124.6,64.25,5.71,-0.605,-0.26,3.5,4,3.25,0.001,0,0.999,0
ND8555-8R,9.52,2.88,3.43,2.91,3.5,76.89,64.77,9.85,0.382,0.606,3.33,3,1,1,0,0,0
ND860-2,9.64,1.3,3.97,2,4.38,74.68,70.91,5.82,-0.865,-0.492,2.64,2.5,1.75,0.017,0,0.983,0
Nicolet(W2133-1),11.08,1.33,4.5,1.86,5.38,72.08,76.56,3.53,-1.025,-0.761,1.81,6,5,0,0,1,0
Norchip,11.5,2.43,4.5,2.54,5.13,76.95,71.01,8.23,-0.66,-0.173,1.72,4,4,0,0,1,0
NorDonna,11.14,3.67,3.97,2.95,4.25,74.74,69.51,6.66,0.111,0.395,2.96,4,1.75,1,0,0,0
